Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15,RACE 5 (275),RACE 5 (275).1,RACE 5 (275).2,RACE 5 (275).3,RACE 5 (275).4,RACE 5 (275).5,RACE 5 (275).6,RACE 5 (275).7,RACE 5 (275).8,RACE 5 (275).9,RACE 5 (275).10,RACE 5 (275).11,RACE 5 (275).12,RACE 5 (275).13,RACE 5 (275).14,RACE 5 (275).15
7,9.0,E LEGEND (G028),C L Chau,K L Man,122.0,1079,7,6,4 5 7,1:10.56,42.0,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12.0,BEST FOR YOU (C223),V Borges,Y S Tsui,121.0,1025,1,6-1/2,7 7 8,1:10.64,22.0,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4.0,FLYING ON THE TURF (C477),A Hamelin,K H Ting,127.0,1172,13,7-1/2,5 6 9,1:10.82,31.0,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13.0,NOBLE BOYZ (E156),M L Yeung,D J Whyte,120.0,1185,12,7-3/4,2 3 10,1:10.85,65.0,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8.0,DASSIT (G017),A Badel,J Size,125.0,1230,9,7-3/4,12 13 11,1:10.86,92.0,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3.0,LUCKY QUALITY (D050),H N Wong,C Fownes,127.0,1091,2,9-1/4,8 8 12,1:11.07,24.0,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6.0,BUDDY SPIRIT (G048),K C Leung,C H Yip,125.0,1193,5,9-1/4,13 12 13,1:11.08,68.0,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7.0,COOLCELEB (C030),H T Mo,T P Yung,123.0,1336,3,12-1/2,14 14 14,1:11.61,67.0,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.0,EASON (G061),J Moreira,F C Lor,127.0,1162,4,-,2 2 1,1:09.88,2.9,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,SKY FOREVER (E414),A Badel,K L Man,133.0,1018,3,1/2,5 4 2,1:09.98,8.0,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11.0,JOYFUL GENIUS (E388),L Ferraris,D J Hall,122.0,1176,6,3,6 6 3,1:10.35,8.3,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,AWESOME TREASURE (E435),M L Yeung,D A Hayes,133.0,1151,1,3,1 1 4,1:10.37,4.3,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,MARVEL DRAGON (D111),K C Leung,T P Yung,130.0,1246,11,3,10 8 5,1:10.37,6.2,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12.0,MY INTELLIGENT (G031),M F Poon,L Ho,119.0,1085,9,3-1/4,9 10 6,1:10.42,22.0,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6.0,AMBITIOUS HEART (V303),B Shinn,T P Yung,125.0,1170,5,5-3/4,4 3 7,1:10.79,21.0,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,VALIANT FORTUNE (G055),M Chadwick,C H Yip,125.0,1155,2,5-3/4,3 5 8,1:10.80,47.0,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,WIN CHARM (G023),V Borges,K W Lui,125.0,1119,12,6-1/2,8 9 9,1:10.92,137.0,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14.0,GOOD SHOT (C364),K Teetan,A S Cruz,115.0,1006,8,6-3/4,7 7 10,1:10.97,14.0,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13.0,ACA POWER (E144),H T Mo,Y S Tsui,118.0,997,14,7-1/4,11 11 11,1:11.06,112.0,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8.0,SUPER HORNET (G043),C L Chau,D J Whyte,122.0,1066,13,8,13 13 12,1:11.18,92.0,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4.0,BRIGHT KID (C060),H W Lai,W Y So,129.0,1200,7,9,14 14 13,1:11.32,61.0,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7.0,ENDOWED (G106),A Hamelin,J Size,125.0,1053,10,9-3/4,12 12 14,1:11.43,80.0,2022/01/01,ST,3,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.92,47.51,1:09.88,,,,24.92,22.59,22.37,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,HEALTHY HAPPY (D435),A Badel,F C Lor,132.0,1165,7,-,3 2 2 1,1:22.10,6.6,2022/01/01,ST,4,Group Three,1400M,,GOOD,"TURF - ""B+2"" Course",13.62,36.28,58.87,1:22.10,,,13.62,22.66,22.59,23.23,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.0,LUCKY EXPRESS (D026),A Hamelin,J Size,128.0,1177,4,N,7 6 6 2,1:22.17,10.0,2022/01/01,ST,4,Group Three,1400M,,GOOD,"TURF - ""B+2"" Course",13.62,36.28,58.87,1:22.10,,,13.62,22.66,22.59,23.23,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.0,EXCELLENT PROPOSAL (D386),J Moreira,J Size,125.0,1105,2,1,5 4 5 3,1:22.28,2.0,2022/01/01,ST,4,Group Three,1400M,,GOOD,"TURF - ""B+2"" Course",13.62,36.28,58.87,1:22.10,,,13.62,22.66,22.59,23.23,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7.0,MASTER MONTARO (E142),M L Yeung,D A Hayes,117.0,1303,3,2,2 3 3 4,1:22.41,7.3,2022/01/01,ST,4,Group Three,1400M,,GOOD,"TURF - ""B+2"" Course",13.62,36.28,58.87,1:22.10,,,13.62,22.66,22.59,23.23,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,DUKE WAI (C188),C L Chau,P O'Sullivan,127.0,1153,5,2-1/4,4 5 4 5,1:22.46,5.8,2022/01/01,ST,4,Group Three,1400M,,GOOD,"TURF - ""B+2"" Course",13.62,36.28,58.87,1:22.10,,,13.62,22.66,22.59,23.23,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0,CHAMPION'S WAY (C061),K Teetan,J Size,133.0,1128,1,4,6 7 7 6,1:22.74,8.7,2022/01/01,ST,4,Group Three,1400M,,GOOD,"TURF - ""B+2"" Course",13.62,36.28,58.87,1:22.10,,,13.62,22.66,22.59,23.23,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,BUDDIES (C019),M Chadwick,A S Cruz,131.0,1197,6,6,1 1 1 7,1:23.06,17.0,2022/01/01,ST,4,Group Three,1400M,,GOOD,"TURF - ""B+2"" Course",13.62,36.28,58.87,1:22.10,,,13.62,22.66,22.59,23.23,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.0,CROSSFORD (G068),V Borges,J Size,116.0,1081,11,-,8 8 8 1,1:34.67,14.0,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.0,TURIN REDSUN (G134),H Bentley,D J Whyte,126.0,1078,1,1-1/4,7 6 6 2,1:34.89,11.0,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,RISE BRETHREN (G075),A Badel,C S Shum,128.0,1082,4,2,10 10 10 3,1:35.00,3.9,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.0,SUPER DYNAMITE (E199),M Chadwick,P F Yiu,124.0,1099,12,2-1/4,11 9 9 4,1:35.02,12.0,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0,KILINDINI (E236),J Moreira,A T Millard,133.0,1191,3,2-1/4,5 3 3 5,1:35.03,7.5,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8.0,FEARLESS FIRE (B085),M L Yeung,D A Hayes,117.0,1179,8,2-3/4,2 2 2 6,1:35.09,25.0,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10.0,WIN WIN FIGHTER (E347),R Maia,K W Lui,117.0,1055,9,3,4 7 7 7,1:35.14,11.0,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7.0,TRUE LEGEND (D047),M F Poon,F C Lor,122.0,1228,7,4-1/4,1 1 1 8,1:35.35,5.3,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5.0,FUNCTION PATCH (E446),C L Chau,K W Lui,122.0,1036,5,4-1/2,9 11 11 9,1:35.37,42.0,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3.0,STORM LEGEND (G139),K Teetan,C Fownes,127.0,1019,2,5-1/4,6 5 5 10,1:35.50,4.8,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12.0,INDIGENOUS REALM (D458),K C Leung,K L Man,118.0,1230,10,6-1/2,3 4 4 11,1:35.70,59.0,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.0,GOLDEN SPECTRUM (D188),H N Wong,A S Cruz,114.0,1063,6,9-3/4,12 12 12 12,1:36.24,52.0,2022/01/01,ST,5,Class 3,1600M,80-60,GOOD,"TURF - ""B+2"" Course",24.83,47.50,1:10.75,1:34.67,,,24.83,22.67,23.25,23.92,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
